"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"97",1961,"Malawi","MWI",-13.25,34.3,NA,0,62,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"98",1961,"Malaysia","MYS",4.21,101.98,NA,NA,70,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"99",1961,"Maldives","MDV",3.2,73.22,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1961,"Mali","MLI",17.57,-4,NA,NA,99,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"101",1961,"Malta","MLT",35.94,14.38,NA,NA,27,NA,NA,NA,NA,NA,0,NA,NA,NA,3
"102",1961,"Mauritania","MRT",21.01,-10.94,NA,NA,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"103",1961,"Mauritius","MUS",-20.35,57.55,NA,NA,2,NA,0,NA,NA,NA,1,NA,NA,NA,NA
"104",1961,"Mexico","MEX",23.63,-102.55,NA,NA,1069,NA,NA,NA,NA,NA,97,NA,NA,NA,0
"105",1961,"Mongolia","MNG",46.86,103.85,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"106",1961,"Montenegro","MNE",42.71,19.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1961,"Morocco","MAR",31.79,-7.09,NA,NA,21,NA,18,NA,NA,NA,0,NA,NA,NA,0
"108",1961,"Mozambique","MOZ",-18.67,35.53,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"109",1961,"Myanmar","MMR",21.91,95.96,NA,0,259,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"110",1961,"Namibia","NAM",-22.96,18.49,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"111",1961,"Nepal","NPL",28.39,84.12,NA,NA,245,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"112",1961,"Netherlands","NLD",52.13,5.29,NA,0,3908,NA,NA,NA,NA,NA,949,NA,0,NA,0
"113",1961,"New Caledonia","NCL",-20.9,165.62,NA,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA
"114",1961,"New Zealand","NZL",-40.9,174.89,NA,NA,181,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"115",1961,"Nicaragua","NIC",12.87,-85.21,NA,NA,27,NA,3,NA,NA,NA,0,NA,NA,NA,NA
"116",1961,"Niger","NER",17.61,8.08,NA,NA,97,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"117",1961,"Nigeria","NGA",9.08,8.68,NA,NA,1331,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"118",1961,"Norway","NOR",60.47,8.47,NA,NA,675,NA,NA,NA,NA,NA,14,NA,0,NA,0
"119",1961,"Oman","OMN",21.51,55.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1961,"Pakistan","PAK",30.38,69.35,NA,NA,112,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"121",1961,"Panama","PAN",8.54,-80.78,NA,NA,34,NA,75,NA,NA,NA,1,NA,NA,NA,NA
"122",1961,"Paraguay","PRY",-23.44,-58.44,NA,NA,34,NA,15,NA,NA,NA,0,NA,NA,NA,NA
"123",1961,"Peru","PER",-9.19,-75.02,NA,NA,374,NA,NA,NA,NA,NA,164,NA,NA,NA,0
"124",1961,"Philippines","PHL",12.88,121.77,NA,NA,834,NA,104,NA,NA,NA,47,NA,NA,NA,0
"125",1961,"Poland","POL",51.92,19.15,NA,NA,8977,NA,NA,NA,NA,NA,54,NA,0,NA,4
"126",1961,"Portugal","PRT",39.4,-8.22,NA,0,399,NA,1,NA,NA,NA,0,NA,NA,NA,41
"127",1961,"Republic of Korea","QAT",35.91,127.77,NA,NA,92,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"128",1961,"Republic of Moldova","MDA",47.41,28.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
