"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"75",1961,"Indonesia","IDN",-0.79,113.92,6,256,9885,33,2058,0,338,4,931,20,1066,43,1507
"76",1961,"Iran (Islamic Republic of)","IRN",32.43,53.69,12,36,2729,0,916,0,321,37,11,12,526,16,1289
"77",1961,"Iraq","IRQ",33.22,43.68,4,4,849,1,220,0,96,2,9,0,169,19,802
"78",1961,"Ireland","IRL",53.41,-8.24,177,1,425,1,112,NA,161,2,20,0,151,11,113
"79",1961,"Israel","ISR",31.05,34.85,45,0,329,4,315,0,66,0,41,0,77,1,335
"80",1961,"Italy","ITA",41.87,12.57,5877,102,9042,105,4805,4,1545,259,599,2,1250,2,6642
"81",1961,"Jamaica","JAM",18.11,-77.3,22,2,149,2,195,0,30,0,54,0,65,0,30
"82",1961,"Japan","JPN",36.2,138.25,2765,315,14728,19,2776,NA,712,30,4732,5,1684,75,9036
"83",1961,"Jordan","JOR",30.59,36.24,1,0,234,1,142,0,10,2,3,0,47,2,385
"84",1961,"Kazakhstan","KAZ",48.02,66.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1961,"Kenya","KEN",-0.02,37.91,361,46,1172,1,442,0,159,2,16,4,115,2,239
"86",1961,"Kiribati","KIR",-3.37,-168.73,0,NA,2,0,2,0,1,0,2,0,1,0,2
"87",1961,"Kuwait","KWT",29.31,47.48,0,0,36,1,20,0,14,0,3,0,10,2,40
"88",1961,"Kyrgyzstan","KGZ",41.2,74.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1961,"Lao People's Democratic Republic","LAO",19.86,102.5,13,1,413,1,55,0,20,0,12,3,2,0,49
"90",1961,"Latvia","LVA",56.88,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1961,"Lebanon","LBN",33.85,35.86,13,3,278,3,274,0,40,8,7,2,42,1,216
"92",1961,"Lesotho","LSO",-29.61,28.23,33,1,164,0,13,NA,16,0,0,0,10,0,13
"93",1961,"Liberia","LBR",6.43,-9.43,7,NA,92,0,81,0,13,1,10,0,2,0,44
"94",1961,"Lithuania","LTU",55.17,23.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1961,"Luxembourg","LUX",49.82,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1961,"Madagascar","MDG",-18.77,46.87,45,25,764,9,285,0,139,1,30,2,55,0,184
"97",1961,"Malawi","MWI",-13.25,34.3,88,19,557,0,196,0,13,0,14,1,10,0,105
"98",1961,"Malaysia","MYS",4.21,101.98,43,13,1263,8,495,4,111,4,172,16,269,4,168
"99",1961,"Maldives","MDV",3.2,73.22,0,0,8,0,4,0,0,1,1,0,3,0,7
"100",1961,"Mali","MLI",17.57,-4,35,0,739,0,76,0,72,4,46,1,14,0,159
"101",1961,"Malta","MLT",35.94,14.38,4,1,52,1,16,0,10,0,3,0,11,0,22
"102",1961,"Mauritania","MRT",21.01,-10.94,1,0,112,0,14,0,32,0,11,0,18,1,3
"103",1961,"Mauritius","MUS",-20.35,57.55,8,0,96,0,5,0,4,0,7,1,29,0,20
"104",1961,"Mexico","MEX",23.63,-102.55,903,646,6056,29,2194,2,970,10,97,17,1003,0,978
"105",1961,"Mongolia","MNG",46.86,103.85,3,0,116,0,2,0,143,0,0,0,3,3,7
"106",1961,"Montenegro","MNE",42.71,19.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1961,"Morocco","MAR",31.79,-7.09,42,3,2287,8,323,0,165,6,15,8,358,14,422
"108",1961,"Mozambique","MOZ",-18.67,35.53,60,0,596,2,207,0,39,8,31,0,52,0,134
"109",1961,"Myanmar","MMR",21.91,95.96,9,44,2479,0,777,0,104,11,332,13,103,5,421
"110",1961,"Namibia","NAM",-22.96,18.49,2,0,59,0,18,0,23,0,6,0,17,0,15
"111",1961,"Nepal","NPL",28.39,84.12,0,7,1490,0,81,0,62,0,2,11,10,0,81
"112",1961,"Netherlands","NLD",52.13,5.29,356,10,1237,66,735,NA,524,11,125,2,547,9,887
"113",1961,"New Caledonia","NCL",-20.9,165.62,7,0,9,0,9,0,4,0,0,0,3,0,4
"114",1961,"New Zealand","NZL",-40.9,174.89,261,0,231,2,154,NA,261,1,50,0,119,8,202
"115",1961,"Nicaragua","NIC",12.87,-85.21,13,35,184,0,121,0,29,0,4,0,64,0,23
"116",1961,"Niger","NER",17.61,8.08,3,0,535,0,22,0,52,0,0,1,8,0,49
"117",1961,"Nigeria","NGA",9.08,8.68,1838,0,5478,1,3005,0,303,148,159,27,76,1,2242
"118",1961,"Norway","NOR",60.47,8.47,105,0,361,27,230,0,138,6,147,1,164,0,168
"119",1961,"Oman","OMN",21.51,55.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1961,"Pakistan","PAK",30.38,69.35,4,37,5995,0,1018,0,366,21,48,34,957,16,790
"121",1961,"Panama","PAN",8.54,-80.78,27,6,144,5,118,0,31,0,8,0,34,0,27
"122",1961,"Paraguay","PRY",-23.44,-58.44,19,16,153,1,302,0,136,0,1,0,27,5,120
"123",1961,"Peru","PER",-9.19,-75.02,243,37,953,6,742,0,223,1,136,1,291,1,400
"124",1961,"Philippines","PHL",12.88,121.77,134,32,3125,32,2691,0,345,12,627,0,384,0,1781
"125",1961,"Poland","POL",51.92,19.15,997,13,6001,4,547,0,1401,1,199,1,978,3,2741
"126",1961,"Portugal","PRT",39.4,-8.22,729,50,1095,12,702,0,179,87,496,0,168,0,844
"127",1961,"Republic of Korea","QAT",35.91,127.77,532,14,4563,0,134,NA,106,2,340,0,49,0,1954
"128",1961,"Republic of Moldova","MDA",47.41,28.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1961,"Romania","ROU",45.94,24.97,650,38,4441,0,650,0,524,33,47,10,203,0,1566
"130",1961,"Russian Federation","RUS",61.52,105.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1961,"Rwanda","RWA",-1.94,29.87,46,79,104,0,989,0,12,0,1,0,0,0,92
"132",1961,"Saint Kitts and Nevis","KNA",17.36,-62.78,1,0,4,0,1,0,1,0,1,0,2,0,1
"133",1961,"Saint Lucia","LCA",13.91,-60.98,1,0,6,0,21,0,1,0,2,0,3,0,1
"134",1961,"Saint Vincent and the Grenadines","VCT",12.98,-61.29,1,0,7,0,4,0,1,0,2,0,3,0,0
"135",1961,"Samoa","WSM",-13.76,-172.1,0,NA,4,0,22,0,3,0,4,0,2,0,0
"136",1961,"Sao Tome and Principe","STP",0.19,6.61,2,0,6,0,5,0,0,0,1,0,1,0,1
"137",1961,"Saudi Arabia","SAU",23.89,45.08,0,0,559,4,209,0,39,1,19,1,28,3,215
"138",1961,"Senegal","SEN",14.5,-14.45,22,0,577,0,32,0,42,15,62,3,65,2,74
"139",1961,"Serbia","SRB",44.02,21.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1961,"Sierra Leone","SLE",8.46,-11.78,136,0,186,0,78,0,10,4,26,2,18,0,148
"141",1961,"Slovakia","SVK",48.67,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1961,"Slovenia","SVN",46.15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1961,"Solomon Islands","SLB",-9.65,160.16,0,0,4,0,7,0,1,0,4,0,1,0,3
"144",1961,"South Africa","ZAF",-30.56,22.94,584,37,3205,10,461,0,575,0,98,7,703,17,831
"145",1961,"Spain","ESP",40.46,-3.75,2319,123,4416,15,1607,NA,670,189,781,10,631,0,4972
"146",1961,"Sri Lanka","LKA",7.87,80.77,12,19,1230,4,389,0,40,4,166,52,180,8,200
"147",1961,"Sudan","SDN",12.86,30.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",1961,"Suriname","SUR",3.92,-56.03,6,0,32,0,7,0,8,0,9,0,9,0,5
"149",1961,"Swaziland","SWZ",-26.52,31.47,35,1,49,0,11,0,12,0,0,0,10,0,6
"150",1961,"Sweden","SWE",60.13,18.64,289,4,580,78,459,0,381,13,196,2,348,1,266
"151",1961,"Switzerland","CHE",46.82,8.23,661,2,749,29,746,0,307,30,41,2,288,1,398
"152",1961,"Tajikistan","TJK",38.86,71.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",1961,"Thailand","THA",15.87,100.99,9,3,4048,5,1934,0,417,1,247,27,112,1,1176
"154",1961,"The former Yugoslav Republic of Macedonia","THA",41.61,21.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",1961,"Timor-Leste","TLS",-8.87,125.73,1,1,56,0,22,0,40,0,0,0,0,0,16
"156",1961,"Togo","TGO",8.62,0.82,48,10,128,0,21,0,13,1,5,2,4,0,37
"157",1961,"Trinidad and Tobago","TTO",10.69,-61.22,13,0,113,1,32,0,23,0,12,0,32,0,15
"158",1961,"Tunisia","TUN",33.89,9.54,47,0,705,3,184,0,52,4,17,8,98,4,304
"159",1961,"Turkey","TUR",38.96,35.24,113,88,6053,2,3680,0,478,137,68,77,200,10,4204
"160",1961,"Turkmenistan","TKM",38.97,59.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",1961,"Uganda","UGA",1.37,32.29,1443,84,519,0,943,0,92,0,55,3,76,1,156
"162",1961,"Ukraine","UKR",48.38,31.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",1961,"United Arab Emirates","ARE",23.42,53.85,NA,0,15,0,3,0,7,0,2,0,3,0,1
"164",1961,"United Kingdom","GBR",55.38,-3.44,4893,50,5814,55,2896,0,3674,64,1052,8,2743,238,3144
"165",1961,"United Republic of Tanzania","TZA",-6.37,34.89,765,54,769,3,539,0,102,3,68,4,72,2,549
"166",1961,"United States of America","USA",37.09,-95.71,12623,656,16415,1310,14529,NA,16780,336,2465,50,9853,52,17713
"167",1961,"Uruguay","URY",-32.52,-55.77,184,2,263,3,138,0,277,0,11,0,99,16,98
"168",1961,"Uzbekistan","UZB",41.38,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",1961,"Vanuatu","VUT",-15.38,166.96,2,NA,3,0,3,0,3,0,2,0,1,0,3
"170",1961,"Venezuela (Bolivarian Republic of)","VEN",6.42,-66.59,271,57,778,32,1227,2,215,1,83,1,284,0,143
"171",1961,"Viet Nam","VNM",14.06,108.28,114,20,5291,4,1226,0,375,3,473,26,145,5,1618
"172",1961,"Yemen","YEM",15.55,48.52,47,0,820,1,105,0,48,0,13,2,55,1,90
"173",1961,"Zambia","ZMB",-13.13,27.85,373,0,578,0,40,0,50,0,27,0,20,0,105
"174",1961,"Zimbabwe","ZWE",-19.02,29.15,210,17,747,0,53,0,63,0,6,0,39,1,73
"175",1962,"Afghanistan","AFG",33.94,67.71,0,NA,2744,0,347,0,132,3,0,3,43,6,343
"176",1962,"Albania","ALB",41.15,20.17,14,6,336,0,86,0,26,4,3,0,20,0,123
